Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
2022-23,NBA,Nikola Jokić,27,DEN,5,41.2,30.2,14,7.2,0.8,1.4,0.583,0.421,0.838
2021-22,NBA,Stephen Curry,33,GSW,6,37.5,31.2,6,5,2,0.2,0.482,0.437,0.857
2020-21,NBA,Giannis Antetokounmpo,26,MIL,6,39.8,35.2,13.2,5,1.2,1.8,0.618,0.2,0.659
2019-20,NBA,LeBron James,35,LAL,6,39.3,29.8,11.8,8.5,1.2,0.5,0.591,0.417,0.667
2018-19,NBA,Kawhi Leonard,27,TOR,6,40.5,28.5,9.8,4.2,2,1.2,0.434,0.357,0.906
2017-18,NBA,Kevin Durant,29,GSW,4,41.3,28.8,10.8,7.5,0.8,2.3,0.526,0.409,0.963
2016-17,NBA,Kevin Durant,28,GSW,5,39.8,35.2,8.2,5.4,1,1.6,0.556,0.474,0.927
2015-16,NBA,LeBron James,31,CLE,7,41.7,29.7,11.3,8.9,2.6,2.3,0.494,0.371,0.721
2014-15,NBA,Andre Iguodala,31,GSW,6,37,16.3,5.8,4,1.3,0.3,0.521,0.4,0.357
2013-14,NBA,Kawhi Leonard,22,SAS,5,33.4,17.8,6.4,2,1.6,1.2,0.612,0.579,0.783
2012-13,NBA,LeBron James,28,MIA,7,43,25.3,10.9,7,2.3,0.9,0.447,0.353,0.795
2011-12,NBA,LeBron James,27,MIA,5,44,28.6,10.2,7.4,1.6,0.4,0.472,0.188,0.826
2010-11,NBA,Dirk Nowitzki,32,DAL,6,40.3,26,9.7,2,0.7,0.7,0.416,0.368,0.978
2009-10,NBA,Kobe Bryant,31,LAL,7,41.1,28.6,8,3.9,2.1,0.7,0.405,0.319,0.883
2008-09,NBA,Kobe Bryant,30,LAL,5,43.8,32.4,5.6,7.4,1.4,1.4,0.43,0.36,0.841
2007-08,NBA,Paul Pierce,30,BOS,6,38.8,21.8,4.5,6.3,1.2,0.3,0.432,0.393,0.83
2006-07,NBA,Tony Parker,24,SAS,4,37.8,24.5,5,3.3,0.8,0,0.568,0.571,0.526
2005-06,NBA,Dwyane Wade,24,MIA,6,43.5,34.7,7.8,3.8,2.7,1,0.468,0.273,0.773
2004-05,NBA,Tim Duncan,28,SAS,7,40.7,20.6,14.1,2.1,0.4,2.1,0.419,,0.667
2003-04,NBA,Chauncey Billups,27,DET,5,38.8,21,3.2,5.2,1.2,0,0.509,0.471,0.929
2002-03,NBA,Tim Duncan,26,SAS,6,44,24.2,17,5.3,1,5.3,0.495,0,0.685
2001-02,NBA,Shaquille O'Neal,29,LAL,4,41.5,36.3,12.3,3.8,0.5,2.8,0.595,,0.662
2000-01,NBA,Shaquille O'Neal,28,LAL,5,45,33,15.8,4.8,0.4,3.4,0.573,,0.513
1999-00,NBA,Shaquille O'Neal,27,LAL,6,45.7,38,16.7,2.3,1,2.7,0.611,,0.387
1998-99,NBA,Tim Duncan,22,SAS,5,45.6,27.4,14,2.4,1,2.2,0.537,0,0.795
1997-98,NBA,Michael Jordan,34,CHI,6,41.7,33.5,4,2.3,1.8,0.7,0.427,0.308,0.814
1996-97,NBA,Michael Jordan,33,CHI,6,42.7,32.3,7,6,1.2,0.8,0.456,0.32,0.764
1995-96,NBA,Michael Jordan,32,CHI,6,42,27.3,5.3,4.2,1.7,0.2,0.415,0.316,0.836
1994-95,NBA,Hakeem Olajuwon,32,HOU,4,44.8,32.8,11.5,5.5,2,2,0.483,1,0.692
1993-94,NBA,Hakeem Olajuwon,31,HOU,7,43.1,26.9,9.1,3.6,1.6,3.9,0.5,1,0.86
1992-93,NBA,Michael Jordan,29,CHI,6,45.7,41,8.5,6.3,1.7,0.7,0.508,0.4,0.694
1991-92,NBA,Michael Jordan,28,CHI,6,42.3,35.8,4.8,6.5,1.7,0.3,0.526,0.429,0.891
1990-91,NBA,Michael Jordan,27,CHI,5,44,31.2,6.6,11.4,2.8,1.4,0.558,0.5,0.848
1989-90,NBA,Isiah Thomas,28,DET,5,38.4,27.6,5.2,7,1.6,0.4,0.542,0.688,0.742
1988-89,NBA,Joe Dumars,25,DET,4,36.8,27.3,1.8,6,0.5,0.3,0.576,0,0.868